video_id,animal_id,event,hole_index,is_target_hole,start_frame,end_frame,start_s,end_s,duration_s,source
test50,test50,investigation,13,false,618,687,20.648,22.954,2.305,auto
test50,test50,investigation,12,false,747,861,24.958,28.767,3.809,auto
test50,test50,investigation,14,false,1436,1464,47.979,48.915,0.936,auto
test50,test50,investigation,8,false,1907,1936,63.716,64.685,0.969,auto
test50,test50,investigation,1,false,2606,2617,87.071,87.438,0.368,auto
test50,test50,reached-target,0,true,2627,2627,87.772,87.772,0.000,auto
test50,test50,investigation,0,true,2631,2637,87.906,88.106,0.200,auto
test50,test50,investigation,13,false,3051,3066,101.939,102.440,0.501,auto
test50,test50,investigation,13,false,3165,3184,105.748,106.382,0.635,auto
test50,test50,investigation,12,false,4202,4215,140.395,140.830,0.434,auto
test50,test50,investigation,16,false,5004,5010,167.191,167.392,0.200,auto
test50,test50,investigation,15,false,5150,5203,172.070,173.840,1.771,auto
test51,test51,investigation,8,false,200,344,13.329,22.925,9.597,auto
test51,test51,investigation,1,false,561,725,37.387,48.316,10.929,auto
test53,test53,investigation,19,false,150,261,5.011,8.719,3.708,auto
test53,test53,investigation,18,false,356,421,11.893,14.064,2.171,auto
test53,test53,investigation,16,false,535,627,17.873,20.946,3.073,auto
test53,test53,investigation,17,false,723,731,24.153,24.421,0.267,auto
test53,test53,investigation,18,false,814,906,27.193,30.267,3.073,auto
